Instance,C(R_d),C(R_c),U(R_d),U(R_c),PoA_U,PoA_C
MD_cust10,130.08,53.84,69.92,146.16,2.09,2.42
MD_cust20,157.76,98.55,242.24,301.45,1.24,1.6
MD_cust30,183.5,144.71,416.5,455.29,1.09,1.27
MD_cust40,231.04,190.87,568.96,609.13,1.07,1.21
MD_cust50,323.82,234.3,676.18,765.7,1.13,1.38
MD_cust60,348.01,277.2,851.99,922.8,1.08,1.26
MD_cust70,398.25,322.49,1001.75,1077.51,1.08,1.23
MD_cust80,440.7,386.71,1159.3,1213.29,1.05,1.14
MD_cust90,489.5,430.15,1310.5,1369.85,1.05,1.14
MD_cust100,524.46,472.35,1475.54,1527.65,1.04,1.11
MDTW_cust10,165.94,81.42,34.06,118.58,3.48,2.04
MDTW_cust20,296.12,124.68,103.88,275.32,2.65,2.38
MDTW_cust30,339.89,157.51,260.11,442.49,1.7,2.16
MDTW_cust40,423.13,236.91,376.87,563.09,1.49,1.79
MDTW_cust50,417.29,268.7,582.71,731.3,1.25,1.55
MDTW_cust60,453.05,330.23,746.95,869.77,1.16,1.37
MDTW_cust70,515.23,417.18,884.77,982.82,1.11,1.24
MDTW_cust80,549.28,481.58,1050.72,1118.42,1.06,1.14
MDTW_cust90,611.77,476.74,1188.23,1323.26,1.11,1.28
MDTW_cust100,641.37,536.71,1358.63,1463.29,1.08,1.19
